,index,choose_one,class_label,created_at,id,json,mentions,source,text,username,predictions,probabilities
44,43,neutral,0,Mon Oct 01 21:05:17 +0000 2018,1046868678724210688,,,united,fuck @EWRairport and @united airlines. was just held at a security checkpoint while my belongings were stolen. staff did nothing / offered no help. was sent omw sans belonings to catch a flight that i nearly missed. how do i even seek compensation for this?!,scttyj,1,0.5918887650193326
45,44,neutral,0,Mon Oct 01 21:05:05 +0000 2018,1046868628958863362,,,united,Already have to check my carry on @united! Every time I fly with you I have to check my carry on! Completely defeats the purpose of carry on!,Lisa_Vibesgirl,0,0.3875258539959654
46,45,neutral,0,Mon Oct 01 21:03:16 +0000 2018,1046868172467462148,,,united,#1 in on time departure? Nope @united flight 1485 to Boston won’t board until another hour...,ericmrugala,0,0.44570267049148965
47,46,neutral,0,Mon Oct 01 21:03:05 +0000 2018,1046868126657392640,,,united,"Couldn't hold the door 1 extra minute, @united?

Seriously?!",warrenmyers,0,0.32578949230817444
48,47,neutral,0,Mon Oct 01 20:58:48 +0000 2018,1046867046082928642,,,united,"United Airlines has topped up an order for Boeing 787-9s, adding nine more, worth US$2.53 billion: https://t.co/jrZwTVk5aT
@united @Boeing #Dreamliner",AirwiseNews,1,0.5536474368958074
49,48,neutral,0,Mon Oct 01 20:54:04 +0000 2018,1046865857815744513,,,united,"Here we go again with the worst airline in the industry @united! Flight 4373 scheduled for 4, delayed until 4:50, it’s 4:51 no plane at the gate and no updates on the United app. #useless #aggravation #awful",Lisa_Vibesgirl,0,0.404843514556328
50,317,neutral,0,Sun Sep 30 21:41:51 +0000 2018,1046515493362896896,,,united,⁦@United⁩ Airbus A319 has been pushed from Gate B3 and it is ready to head to Chicago. https://t.co/hHOznI97r2,TylerCoolGuy88,1,0.5385423601964635
51,50,neutral,0,Mon Oct 01 20:50:20 +0000 2018,1046864917234667520,,,united,Two handicapped people needing to be specially carried on the plane by two attendants have caused the flight to be delayed half an hour. Bad business model @united,LordSolaris,0,0.2606143787920486
52,51,neutral,0,Mon Oct 01 20:50:07 +0000 2018,1046864860355727365,,,united,"If you fly @united, you need to be maximizing the points you earn with #MileagePlus. Here's how on @Nancydbrown  https://t.co/HerOHN6t3r",unxplorer,0,0.35112883587817467
53,52,neutral,0,Mon Oct 01 20:45:09 +0000 2018,1046863610901860352,,,united,Worst @united flight I’ve taken in months out of SF and we havnt even left yet. Take another airline if you’re flying in or out of the bay. We’ve been waiting on the runway for an hour with no real updates &amp; patronizing flight attendants. Now the babies have started crying... 🛩,_carl_malone,0,0.4728425717440665
54,53,neutral,0,Mon Oct 01 20:43:26 +0000 2018,1046863181702975488,,,united,"طيران @united يعلن عن آولى وجهات النسخه الأكبر B787-10 بين نيويورك ولوس انجلوس وسان فرانسيسكو.
اليونايتد ستكون أول شركة ستمتلك كل طرازات الدريم لاينر. 
B787-8
B787-9
B787-10 https://t.co/XevF7FsVIA",motaz_777,0,0.41642699364930397
55,54,neutral,0,Mon Oct 01 20:36:53 +0000 2018,1046861530573225984,,,united,".@united is going big with its @BoeingAirplanes 787 Dreamliners. The airline has just placed an order for nine additional 787-9s and announced the routes where its first 787-10s will be flying to.

https://t.co/FCDftL7jHj https://t.co/nQgrydLYMW",airwayslive,0,0.44823510648908865
56,55,neutral,0,Mon Oct 01 20:36:32 +0000 2018,1046861444338409472,,,united,".@united is going big with its @BoeingAirplanes 787 Dreamliners. The airline has just placed an order for nine additional 787-9s and announced the routes where its first 787-10s will be flying to.

https://t.co/Fjm6g10Hje https://t.co/ln5P1u7ZxL",airwaysmagazine,0,0.44823510648908865
57,56,neutral,0,Mon Oct 01 20:35:26 +0000 2018,1046861165782077441,,,united,"As heard on my @SouthwestAir, “Remember when @SouthwestAir was a top-notch airline? Seems like a long time ago...” and “I’m flying @United next time....”",andreaedurkin,1,0.5726878541245574
58,57,neutral,0,Mon Oct 01 20:35:05 +0000 2018,1046861079194873856,,,united,"40 airports. 13 countries. 6 continents. On 10/2, airport workers are holding worldwide demonstrations to put airlines like @united on notice calling for fair wages, union rights, &amp; safe workplaces in every country. https://t.co/awuxRpqpWH #PovertyDoesntFly #UnionsForAll https://t.co/kdRWKnAA7H",NorCalFF15,0,0.3212536593733904
59,58,neutral,0,Mon Oct 01 20:34:27 +0000 2018,1046860920956293120,,,united,25 years of flying on business trips and @united managed to deliver the worst experience on record. Two failed attempt to take off with flaps that wouldn’t move. Third attempt and an engine wouldn’t start. Do you think this plane may need to be scrapped? #Nightmare,TravlPRLady,0,0.3169800958850553
60,59,neutral,0,Mon Oct 01 20:33:34 +0000 2018,1046860698653941763,,,united,"Cool thanks @united Because of this delay still going on 45min+, I'm not going to be able to catch my bus home at the next stop.. Thanks",KINGFONZ43,0,0.3231237345521679
61,60,neutral,0,Mon Oct 01 20:28:25 +0000 2018,1046859401842372608,,,united,"#NEWS: It's a busy Dreamliner week at @United:

• New order for 9 787-9s: $2.53 billion
• Announced first 787-10 routes: EWR-LAX/SFO
• First in the USA to operate the 787-8/-9/-10

Full story: https://t.co/HKQgmngAE3 https://t.co/yMFCIqI2zM",Enrique77W,0,0.3444282103508553
62,61,neutral,0,Mon Oct 01 20:20:06 +0000 2018,1046857307479511040,,,united,"40 airports. 13 countries. 6 continents. On 10/2, airport workers are holding worldwide demonstrations to put airlines like @united on notice calling for fair wages, union rights, &amp; safe workplaces in every country. https://t.co/in7ucURvjo #PovertyDoesntFly #UnionsForAll https://t.co/jeibkfyrks",FightFor15FL,0,0.3212536593733904
63,62,neutral,0,Mon Oct 01 20:19:51 +0000 2018,1046857243566776321,,,united,"Every. Single. Time. I think it is safe to go back to @united they disappoint me.  Every. Single. Time. Fool me 357 times, shame on me.",JJPeterson75,0,0.440860108745896
64,63,neutral,0,Mon Oct 01 20:14:07 +0000 2018,1046855802106118144,,,united,Do Not I REPEAT DO NOT FLY @united I've still not heard from their customer service in regards to my missing valuables!!!!,Tysh2913,1,0.8420261387395042
65,64,neutral,0,Mon Oct 01 20:10:35 +0000 2018,1046854911206539265,,,united,Big thanks to my @United pilot for hustling to keep his on time departure stats up by skipping a gas fill up. AUS/IAH had an extra stop in back AUS after getting 400ft from the ground in Houston. On time departure with a 3.5 hour arrival delay + missed connections + downgrade.,FijiSkillz,0,0.3897649859227395
66,65,neutral,0,Mon Oct 01 20:09:28 +0000 2018,1046854631236816898,,,united,"Mañana salgo del aeropuerto newark serca de donde vivo new jersey a la Ciudad de Huston a trabajar por 2 dias hora de salida 10.58am 3horas 30min de vuelo numero de vuelo 663 de @united vuelo directo por fortuna .,Saludos a los 2 chavistas que me leen saliendo del aeropuerto. https://t.co/FOgSdwzedK",ArmaWalter,0,0.17517723455549963
67,66,neutral,0,Mon Oct 01 20:02:15 +0000 2018,1046852813983293445,,,united,shout out to Ken at @united for his awesome customer service today ... @united is winning me over more and more each time I fly!!!,AmeliaSchmidt,0,0.4590147208747214
68,67,neutral,0,Mon Oct 01 20:01:30 +0000 2018,1046852625281552385,,,united,"Lmao! Y’all @united is the absolute worst. If you can avoid them, folks please do so. Pay the extra $100 for another one, unless they’re dirt cheap then you know! Lol you get what you pay for.",atribecalledher,1,0.6676654768652024
69,68,neutral,0,Mon Oct 01 20:01:02 +0000 2018,1046852511305519105,,,united,"Hey @United! In the past 3 weeks, you are 6 for 6 for delays or cancellations on my flights! How Cleveland Brown-esque! 😡",swtanker,1,0.6784888833780838
70,69,neutral,0,Mon Oct 01 19:58:11 +0000 2018,1046851791080574976,,,united,WTH @united and their new basic economy nonsense!!!! If I had another option I would never fly with them again!!! #customerservicefail #youkeepgettingworse,karlaarjonab,0,0.41748349416309954
71,70,neutral,0,Mon Oct 01 19:57:55 +0000 2018,1046851723384573952,,,united,Niiiice! Congrats @united https://t.co/04oBBw4KLa,pilotmwangi,0,0.36589147734330607
72,71,neutral,0,Mon Oct 01 19:53:13 +0000 2018,1046850541492551680,,,united,Every time you purchase a ticket from @united it should come with a half lifter of whiskey and 3 xanax because that is the only way you are going to get through that god awful experience of flying their airline,SchoonKC,0,0.426885207164928
73,72,neutral,0,Mon Oct 01 19:47:59 +0000 2018,1046849226666364929,,,united,.@united - paid $15 for in-flight Internet (flight 904 aus-ewr) but internet was not working the entire flight... how do I get refunded?,jonathanha,1,0.6305630848041646
74,439,neutral,0,Tue Oct 02 04:39:17 +0000 2018,1046982929551908864,,,united,I fucking hate @united,Dafney_T,0,0.36825927836464956
75,73,neutral,0,Mon Oct 01 19:38:31 +0000 2018,1046846841294344193,,,united,As the exact same @united flight I’ve had from Chicago to Buffalo has been delayed for a second-straight Monday. Enjoy Andy. https://t.co/vrbwqLIXSe,JonScottTV,1,0.5946313118540472
76,74,neutral,0,Mon Oct 01 19:33:35 +0000 2018,1046845602301140992,,,united,Awesome work by our newest operation in OMA @GATAGSTeam @united #GATWave The team pushed 6 out of 6 on time or early. What a great group of aviation professionals #GATOMA https://t.co/CWpU05cXY9,GATAGSTeam,0,0.14891995854250198
77,75,neutral,0,Mon Oct 01 19:32:22 +0000 2018,1046845294657167361,,,united,Hey @united our flight come g in from Palm Springs is being held outside a gate in San Francisco and some of us will miss connections. Will the flight at 1:01pm to ORD be held for us?,robmerritt,0,0.38372969003301605
78,76,neutral,0,Mon Oct 01 19:30:19 +0000 2018,1046844779903025152,,,united,Doesn’t the new @WilmingotnBiz magazine look sharp? Great to see ILM’s terminal expansion &amp; new routes by @united and @AmericanAir highlighted in the current issue! You can pick-up a complementary copy gate-side at ILM! #flyILM https://t.co/FPwOiiFw59,ILMairport,0,0.12716062983165158
79,77,neutral,0,Mon Oct 01 19:18:15 +0000 2018,1046841741695803393,,,united,"Been sitting on the tarmac at SFO for over an hour now, trying to get to a gate. Any thoughts,  @united ?",Ladyaero3,0,0.44520031630093393
80,78,neutral,0,Mon Oct 01 19:12:40 +0000 2018,1046840338789359618,,,united,"On my last few @united flights into and out of SFO, the Group 1 line is so long it feels like the whole plane must have status. In line and so far back am at the next gate 🤦🏽‍♀️ https://t.co/VcLrNKGVq1",mkhandel,0,0.4143427300911869
81,79,neutral,0,Mon Oct 01 19:09:29 +0000 2018,1046839536469172224,,,united,"🛬 Landed in Vegas on @United UA2138 (EWR-LAS) 🐜 aka Flight of the Ants. 🐜 Every time I dozed off, damn ants woke me up. 🐜 Thanks #United. 🐜🐜🐜🐜 https://t.co/orft7vPMDJ",eddiespike,0,0.34298785776181606
82,80,neutral,0,Mon Oct 01 19:05:44 +0000 2018,1046838593518329856,,,united,"NOUVEAU @united commande 9x 787-9 supplémentaires, et permet au #Dreamliner d'enregistrer 100+ commandes nettes depuis le début de l'année 2018! https://t.co/6eq6Mq2Znn https://t.co/G4f3HoLGYT",BoeingFrance,1,0.6337203695589724
83,81,neutral,0,Mon Oct 01 19:01:19 +0000 2018,1046837480870305793,,,united,And another 2 hr delay @united  please fix your planes before they need it,TheRetailDoctor,1,0.5820184754421956
84,82,neutral,0,Mon Oct 01 19:01:08 +0000 2018,1046837436943388675,,,united,"It amazes me that I can be a loyal OnePass member with Continental/@united for 25 years, but if want to change my seat for a flight, they want to charge me.",Jaberuski,1,0.5983739665079401
85,83,neutral,0,Mon Oct 01 19:00:48 +0000 2018,1046837352432164866,,,united,"What the news releases mean #avgeeks? @united Airlines' 787 #Dreamliner order boosts @BoeingAirplanes Everett factory backlog as 2019 production boost looms .... but United says ( very frostily) it's also shopping for used jets, too:
https://t.co/YM7MdGyb8B #airlines #aerospace",PSBJaero,1,0.5494156244175473
86,84,neutral,0,Mon Oct 01 18:54:11 +0000 2018,1046835688044400640,,,united,"Thank you to our great customer @United for placing an order for 9 more 787-9 #Dreamliner airplanes. With this order, the #Boeing 787 program has exceeded 100+ net orders this year. Guess how many for the program? Answer here: https://t.co/LEUnTbru2v https://t.co/VKJyC6fjFh",BoeingAirplanes,1,0.6355171769490178
87,85,neutral,0,Mon Oct 01 18:53:09 +0000 2018,1046835428031180804,,,united,Once again @united ordered additional #B789 at @BoeingAirplanes. This time the order is for 9 aircraft. #avgeek (Photo: @avhomma) https://t.co/xTMr6Ww3RQ,scramble_nl,1,0.7932440920331345
88,86,neutral,0,Mon Oct 01 18:52:02 +0000 2018,1046835145263730690,,,united,"Oooh yay! Just 20% of psgrs (65/318) get 2live the dream while other 80% get shafted stuffed in 9-teeny, tiny seats/row on 6-hrs @United ‘Nightmareliner’ @Boeing 787 transcon flts

Whoopee!

⁦@Delta⁩: bring on 2-4-2 @Airbus A330s!

#airlines #avgeek https://t.co/ezGZeYGs1a",Hmiller1011,0,0.28370072396391394
89,87,neutral,0,Mon Oct 01 18:49:19 +0000 2018,1046834459801214978,,,united,"Gee. Thanks, @united. 

My 1450 flight from TYS to IAD is delayed at least 30 minutes (landing at 1655)

My IAD to MCO flight is slated to *leave* at 1705

There is literally no way to make the connection. 

#EpicFail",warrenmyers,1,0.5022671205726446
90,88,neutral,0,Mon Oct 01 18:45:17 +0000 2018,1046833446641913857,,,united,Missing the 128$ united fraudulently stole from me. @united @united,3TDucote,1,0.5443780876925535
91,89,neutral,0,Mon Oct 01 18:42:36 +0000 2018,1046832769542889472,,,united,Oh hey there! 👋🏼 @united We meet again... @ Chicago O'Hare International Airport https://t.co/S6CqhSqr5T,paestef,0,0.4966627796899111
92,90,neutral,0,Mon Oct 01 18:33:04 +0000 2018,1046830371927728129,,,united,"A guy at the @united club just asked the bartender if @EvanWilliamsExp was “local”...

It’s bourbon... And we’re in NJ...

🤦🏻‍♂️",CGsquiggles,0,0.3830164169786316
93,91,neutral,0,Mon Oct 01 18:32:32 +0000 2018,1046830237894500359,,,united,"Philadelphia to Mexico City, Mexico for only $245 roundtrip with @united.

https://t.co/QiNVr1BSnx https://t.co/fPqfmGUIyc",SecretFlying,0,0.31436778157845424
94,92,neutral,0,Mon Oct 01 18:31:02 +0000 2018,1046829860449062912,,,united,"I went from Roaches on my flight 
To computer engine failure 
To deplaning that flight 
To getting a new flight 
To waiting 2 hours for that flight 
To getting delayed while currently flying 
To missing my connecting flight again. 
Now I need another flight and food. @United Wow",Chriscowan626,1,0.5495608986485276
95,93,neutral,0,Mon Oct 01 18:24:42 +0000 2018,1046828267393757189,,,united,My flight is again delayed @united this time while I’m in the middle of the flight. I was supposed to be at my final destination at the current time. Now I don’t even have an ETA. So for the third time today I have to change flights.,Chriscowan626,1,0.6599707993490668
96,94,neutral,0,Mon Oct 01 18:17:10 +0000 2018,1046826372142907392,,,united,great fall colors in maine! too bad we booked a direct flight from dublin to chicago. @united - not impressed. #neededmoregas #planningfail #bigmetalbird https://t.co/ksJ8Qz9PAJ,josephcgates,0,0.22065218921679972
97,95,neutral,0,Mon Oct 01 18:12:14 +0000 2018,1046825127940218880,,,united,".@united call customer supoort ask how i pay cash for bag after wallet was lost.  Phone agent said they tskr cash at check in. I new this was sone how not correct. at sfo  Wait in line 30 minutes ,check in agent say i need to goto other checkin area, they will take cash.",billnandy,1,0.5398873526574318
98,96,neutral,0,Mon Oct 01 18:01:21 +0000 2018,1046822388179095552,,,united,United Airlines Has Updated Their Boarding Process - Here's How It Works https://t.co/kLwk5zF2qg @United https://t.co/17j6FKy83p,MilMileSecrets,0,0.37819060832769846
99,202,neutral,0,Wed Oct 03 02:01:05 +0000 2018,1047305508007424000,,,united,I legit do all my homework and papers on @united ✈️,SarahJansen8,0,0.3993081547108257
100,97,neutral,0,Mon Oct 01 18:00:53 +0000 2018,1046822274433613824,,,united,"On your marks. Get set. Go anywhere. Book your @United flight to and from the @Humana #RnRSanAntonio Start Line today. 

Learn more about how to receive a flight discount here: https://t.co/YmxM0XRlUJ https://t.co/OeTBgJJfJq",RunRocknRoll,0,0.2988675398195129
101,98,neutral,0,Mon Oct 01 17:58:02 +0000 2018,1046821556687708160,,,united,"Wish I'd been more of an #avgeek to keep track of the #airline I've flown the most. But if I were to guess, it would be a mix of @united (pre-and post Continental), Northwest and of course @SouthwestAir. How about you? #paxex #travel https://t.co/Nj8O3PF5aq https://t.co/tzfuWVlIns",AvQueenBenet,0,0.2841280619461166
